掌权人,排名,排名变化,财富值_人民币_亿,财富值_美元,财富值变化,人物关系,公司名称_中文,公司名称_英文,公司总部地_中文,公司总部地_英文,所在行业_中文,所在行业_英文,性别,年龄,出生地_中文,籍贯_中文,常住地_中文,学历_中文,毕业院校_中文,毕业院校_英文,专业_中文,专业_英文
陈志平,265,77,185.0,2610.0,12%,未知,思摩尔,Smoore,广东深圳,Guangdong,电子烟,Consumer Electronics,先生,48,,,中国-广东-深圳,,,,,
傅利泉、陈爱玲,265,-91,185.0,2610.0,-35%,夫妇,大华技术,Dahua Technology,浙江杭州,Zhejiang,软件、电子通讯产品,"Software, Electronic and communication products",先生,57,中国-浙江-杭州,中国-浙江,中国-浙江-杭州,,,浙江电子工业学校,,
黄敏利、许慧卿,265,-4,185.0,2610.0,-10%,夫妇,敏华,Manwah,香港,Hong Kong,休闲沙发,Recreational Sofa,先生,59,中国-福建-泉州,,中国-香港,本科,,,,
黄文仔,265,-28,185.0,2610.0,-16%,未知,星河湾,Star River,广东广州,Guangdong,房地产、投资,"Real Estate, Investments",先生,71,中国-广东-广州,中国-广东-广州,中国-广东-广州,硕士,,,,
简军,265,-142,185.0,2610.0,-51%,未知,爱美客,Imeik,北京,Beijing,生物制药,Biotechnology,女士,61,中国-北京,,中国-北京,,,,,
梁光伟,265,162,185.0,2610.0,37%,未知,华强,Huaqiang,广东深圳,Guangdong,投资,Investments,先生,61,中国-浙江-台州,中国-浙江-台州,中国-广东-深圳,硕士,深圳,,,
谢伟通,265,25,185.0,2610.0,0%,未知,华友钴业,Huayou Cobalt,浙江嘉兴,Zhejiang,有色金属,Non-ferrous metals,先生,67,中国-台湾,,中国-浙江-嘉兴,,,,,
许邦福,265,New,185.0,2610.0,NEW,家族,华城电机,Fortune Electric,台湾桃园,Taiwan,电子元件,Electronic Components,未知,未知,中国-浙江-宁波,,台湾桃园,硕士,日本京都大学,,,
张双旺、张东海,265,60,185.0,2610.0,9%,父子,伊泰,Yitai,内蒙古鄂尔多斯,Inner Mongolia,煤炭,Coal,先生,81,中国-内蒙古-鄂尔多斯,中国-陕西-榆林,中国-内蒙古-鄂尔多斯,本科,内蒙古轻工,,,
张文中,265,-4,185.0,2610.0,-10%,未知,物美,WuMart,北京,Beijing,零售,Retail,先生,62,中国-山东,中国-山东,中国-北京,博士,南开、南开、斯坦福,,,
季琦,276,-49,180.0,2540.0,-22%,未知,华住,Home Inn,上海闵行,Shanghai,连锁酒店,Hotel chain ,先生,58,中国-江苏-南通,中国-江苏-南通,中国-上海,,,上海交通大学,,
靳保芳,276,-179,180.0,2540.0,-60%,家族,晶澳科技,JA Solar,河北邢台,Hebei,光伏,Solar Energy,先生,72,中国-河北-邢台,中国-河北-邢台,中国-河北-邢台,,,,,
李洪信,276,49,180.0,2540.0,6%,家族,太阳纸业,Sunpaper,山东济宁,Shandong,造纸,Papermaking ,先生,71,中国-福建,中国-山东,中国-山东-济宁,本科,,,,
毛文超,276,New,180.0,2540.0,NEW,未知,小红书,Xiaohongshu,上海,Shanghai,生活服务平台、电商,E-Commerce,未知,未知,中国-四川-绵阳,,上海,本科,上海交通大学,,,
王俊民、申萍,276,151,180.0,2540.0,33%,夫妇,海思科,Haisco Pharmaceutical,西藏山南,Tibet,医药,Pharmaceuticals,先生,56,中国-辽宁,,新加坡,硕士,沈阳医科、长江商学院,沈阳药科大学,,
王树华,276,-8,180.0,2540.0,-10%,家族,冀南钢铁,Yuhua Steel,河北邯郸,Hebei,钢铁,Steel,先生,未知,,,中国-河北-邯郸,,,,,
翁先定,276,66,180.0,2540.0,9%,未知,新产业,New Industries,广东深圳,Guangdong,医疗器械,Health Tech,先生,63,,,中国-广东-深圳,,,,,
阎志,276,4,180.0,2540.0,-5%,未知,卓尔,Zhuoer,湖北武汉,Hubei,房地产、投资,"Real estate, Investments",先生,52,中国-湖北-黄冈,,中国-湖北-武汉,硕士,武大,武汉大学,,
杨卫东、杨亚珍,276,49,180.0,2540.0,6%,夫妇,卫星石化,Zhejiang Satellite Petro Chemical,浙江嘉兴,Zhejiang,化工,Chemicals,先生,56,中国-浙江,,中国-浙江-嘉兴,,,,,
张力、张量,276,151,180.0,2540.0,33%,父子,富力地产,R & F,广东广州,Guangdong,投资、房地产,"Investments, Real Estate",先生,71,中国-广东-广州,,中国-广东-广州,博士,美国波士顿,美国国立波士顿大学,,
张松桥,276,-15,180.0,2540.0,-12%,未知,中渝,Zhongyu,香港,Hong Kong,投资、房地产,"Investments, Real Estate",先生,60,中国-重庆,中国-重庆,中国-香港,硕士,党校,,,
周泽荣,276,-39,180.0,2540.0,-18%,未知,侨鑫,Kingold,广东广州,Guangdong,房地产、投资,"Real Estate, Investments",先生,70,中国-广东-汕头,中国-广东-汕头,中国-广东-深圳,,,,,
蒋卫平,288,-138,175.0,2460.0,-46%,家族,天齐锂业,Tianqi,四川遂宁,Sichuan,锂矿,Mining,先生,69,中国-四川-成都,,中国-四川-遂宁,本科,,西华大学,,
潘石屹、张欣,288,2,175.0,2460.0,-5%,夫妇,SOHO中国,SOHO China,北京,Beijing,投资、房地产,"Investments, Real Estate",先生,61,中国-甘肃-天水,中国-甘肃-天水,中国-北京,,,中国石油管道学院,,
唐彬森,288,-83,175.0,2460.0,-30%,未知,元气森林,Genki Forest,北京,Beijing,饮料,Food & Beverage,先生,42,中国-安徽-合肥,中国-安徽-合肥,中国-北京,,,,,
阳萌、贺丽,288,37,175.0,2460.0,3%,夫妇,安克,Anker,湖南长沙,Hunan,电子商务,E-Commerce,先生,42,,,中国-湖南-长沙,,,,,
张静章,288,14,175.0,2460.0,-3%,家族,海天国际,Haitian,浙江宁波,Zhejiang,注塑机,Injection molding machine,先生,87,中国-浙江-宁波,,中国-浙江-宁波,,,,,
安康,293,-61,170.0,2390.0,-24%,家族,华兰生物,Hualan Biological Engineering,河南新乡,Henan,生物制药,Biopharmaceuticals,先生,75,中国-河南-新乡,,中国-河南-新乡,本科,河南师范,河南师范大学,,
黄立、黄晟,293,-50,170.0,2390.0,-21%,父子,高德电气,Guide Electrics,湖北武汉,Hubei,电子制造,Electronics,先生,61,中国-陕西-西安,,中国-湖北-武汉,硕士,华中科技,,,
黄茂如、张静,293,32,170.0,2390.0,0%,夫妇,茂业,Maoye,广东深圳,Guangdong,投资、房地产,"Investments, Real Estate",先生,59,中国-广东-潮州,中国-广东-揭阳,中国-广东-深圳,硕士,,,,
蒋业华,293,20,170.0,2390.0,-3%,未知,华宇,Huayu,重庆,Chongqing,房地产,Real estate,先生,61,中国-重庆,中国-重庆,中国-重庆,,,,,
林耀英,293,178,170.0,2390.0,36%,家族,大立光,Largan,台湾台北,Taiwan,电子元件,Electronic Components,先生,91,,,中国-台湾-台中,,,,,
戚振波,293,32,170.0,2390.0,0%,未知,美腕,Meione,上海,Shanghai,新零售,New Retail,先生,未知,,,中国-上海,,,,,
钱东奇、钱程,293,-50,170.0,2390.0,-21%,父子,科沃斯,Ecovacs,江苏苏州,Jiangsu,机器人,Robot,先生,66,中国-江苏-南京,中国-江苏-南京,中国-江苏-苏州,硕士,南大、南大,南京大学,,
肖永明,293,113,170.0,2390.0,21%,家族,藏格矿业,Zangge Mining,青海格尔木,Qinghai,矿产,Mining,先生,60,中国-四川-资阳,,中国-北京,,,,,
邢李㷧,293,32,170.0,2390.0,0%,未知,思捷环球,Esprit,香港,Hong Kong,投资,Investments,先生,75,中国-香港,中国-香港,中国-香港,,,,,
张帆,293,65,170.0,2390.0,6%,未知,汇顶科技,Goodix,广东深圳,Guangdong,半导体芯片,Electronic Components,先生,59,中国-四川-成都,中国-四川-成都,中国-广东-深圳,本科,电子科技,,,
张宏伟,293,-153,170.0,2390.0,-51%,未知,东方,Orient,北京,Beijing,能源、零售,"Energy, Retail",先生,70,中国-黑龙江-哈尔滨,中国-黑龙江,中国-北京,硕士,哈工大,哈尔滨建筑工程学院,,
周胜馥,293,New,170.0,2390.0,NEW,未知,拉拉科技,Lalatech,广东深圳,Guangdong,货运物流,Transportation & Logistics,先生,47,,,中国-香港,,,,,
邹支农,293,162,170.0,2390.0,31%,家族,天孚通信,Tfc Optical,江苏苏州,Jiangsu,通信设备,Manufacturing,先生,56,,,中国-江苏-苏州,,,,,
蔡东晨,306,-16,165.0,2320.0,-11%,未知,石药,CSPC Pharmaceutical,河北石家庄,Hebei,医药,Pharmaceuticals,先生,71,中国-河北-石家庄,中国-河北-石家庄,中国-河北-石家庄,硕士,南开,,,
陈凯臣,306,-4,165.0,2320.0,-8%,家族,立白,Liby,广东广州,Guangdong,日化用品,Personal Care,先生,未知,中国-广东-揭阳,中国-广东-揭阳,中国-广东-广州,,,,,
邓伟明、吴小歌,306,-63,165.0,2320.0,-23%,夫妇,中伟股份,Cngr,湖南长沙,Hunan,工业产品,Industrial Products,先生,56,中国-湖南-长沙,,中国-湖南-长沙,,,,,
利约翰,306,100,165.0,2320.0,18%,未知,中电,CLP,香港,Hong Kong,能源,Energy,先生,70,,,中国-香港,,,,,
邵钦祥,306,36,165.0,2320.0,0%,家族,花园,Garden,浙江金华,Zhejiang,工业制造、房地产,"Industrial manufacturing, real estate",先生,70,中国-浙江-金华,,中国-浙江-金华,,,,,
王华君、吴兰兰,306,36,165.0,2320.0,0%,夫妇,裕同包装,Yuto Packaging,广东深圳,Guangdong,包装,Packaging,先生,54,中国-江西-九江,,中国-广东-深圳,硕士,,,,
王文京,306,-135,165.0,2320.0,-43%,未知,用友,Yonyou,北京,Beijing,软件与信息服务,Software and Information Services,先生,60,中国-江西-上饶,中国-江西-上饶,中国-北京,本科,江西财经,江西财经大学,,
王希成,306,-38,165.0,2320.0,-18%,家族,玲珑轮胎,Linglong ,山东烟台,Shandong,轮胎,Tires ,先生,76,中国-山东,,中国-山东-烟台,,,,,
吴少勋,306,-38,165.0,2320.0,-18%,未知,劲牌,Jingjiu,湖北黄石,Hubei,保健酒,Food & Beverages,先生,68,中国-湖北-黄石,,中国-湖北-黄石,本科,黄石市党校,,,
徐乘,306,36,165.0,2320.0,0%,家族,徐福记,Hsu Fu Chi,广东东莞,Guangdong,食品,Food & Beverages,先生,72,中国-台湾-台北,中国-台湾-台北,中国-广东-东莞,,,,,
虞锋,306,19,165.0,2320.0,-3%,家族,云锋基金,YF Capital,上海徐汇,Shanghai,投资,Investments,先生,61,中国-上海,中国-上海,中国-上海,本科,复旦,中欧国际工商学院,,
张万镇,306,36,165.0,2320.0,0%,未知,三环,Three-Circle,广东潮州,Guangdong,通信部件、电子元器件,Electronic Components,先生,75,中国-广东-潮州,中国-广东-潮州,中国-广东-潮州,,,,,
陈爱莲、吴良定,318,153,160.0,2250.0,28%,夫妇,万丰,Wanfeng Auto,浙江绍兴,Zhejiang,智能制造、投资,Automobile parts,先生,66,中国-浙江-绍兴,中国-浙江-绍兴,中国-浙江-绍兴,,,北京师范大学,,
陈明永,318,70,160.0,2250.0,10%,未知,OPPO,OPPO,广东东莞,Guangdong,消费电子产品,Consumer Electronics,先生,55,中国-四川-达州,中国-四川-达州,中国-广东-东莞,本科,浙大,,,
陈谭庆芬,318,40,160.0,2250.0,0%,家族,恒隆,Hang Lung,香港,Hong Kong,房地产,Estate Holding,先生,未知,,,中国-香港,,,,,
冯海良,318,-38,160.0,2250.0,-16%,未知,海亮,Hailiang,浙江绍兴,Zhejiang,铜加工、投资,"Copper, Investments",先生,64,中国-浙江,,中国-浙江-绍兴,,,,,
葛卫东,318,24,160.0,2250.0,-3%,未知,混沌投资,Hundun,上海浦东,Shanghai,投资,Investments,先生,55,,,中国-上海,本科,川大,四川大学,,
梁绍鸿,318,40,160.0,2250.0,0%,未知,大鸿辉,Tai Hung Fai,香港,Hong Kong,房地产,Estate Holding,先生,72,中国-香港,中国-香港,中国-香港,,,,,
穆荣均,318,7,160.0,2250.0,-6%,未知,美团,Meituan,北京,Beijing,生活服务,Life Service,先生,44,,,中国-北京,硕士,清华、清华,,,
彭蕾,318,24,160.0,2250.0,-3%,未知,阿里系,Alibaba,浙江杭州,Zhejiang,电子商务、金融科技,"E-commerce, fintech",先生,53,,,新加坡,,,,,
伍步高,318,40,160.0,2250.0,0%,家族,永隆,Wing Lung Bank,香港,Hong Kong,银行业,Banking,先生,80,中国-香港,中国-广东-佛山,中国-香港,,,,,
程一笑,327,-74,155.0,2180.0,-26%,未知,快手科技,Kuaishou,北京,Beijing,传媒娱乐,Media & Entertainment,先生,39,,,中国-北京,,,,,
李丐腾,327,-153,155.0,2180.0,-46%,家族,飞科电器,Flyco,上海松江,Shanghai,小家电,Small home appliances,先生,52,中国-浙江-温州,中国-浙江-温州,中国-上海,硕士,,,,
林明成,327,50,155.0,2180.0,3%,家族,华南金控,Hua Nan,台湾台北,Taiwan,金融服务,Financial Services,先生,81,中国-台湾,,中国-台湾-台北,,,,,
罗家宝,327,43,155.0,2180.0,0%,未知,百乐,Lobo Investment,香港,Hong Kong,房地产,Estate Holding,先生,75,,,中国-香港,,,,,
吴冠江、刘铁鹰,327,-25,155.0,2180.0,-14%,夫妇,智飞生物,Zhifei,重庆,Chongqing,疫苗,Medicine ,先生,56,中国-四川-乐山,中国-四川-乐山,中国-重庆,,,,,
谢良志、李翰园,327,-113,155.0,2180.0,-35%,夫妇,神州,Sinocelltech,北京,Beijing,生物制药,Biotech,先生,58,,,中国-北京,,,,,
张荣华,327,61,155.0,2180.0,7%,家族,荣程,Rockcheck,天津,Tianjin,钢铁,Steel,女士,55,中国-天津,中国-天津,中国-天津,硕士,,,,
周鸿祎,327,-84,155.0,2180.0,-28%,未知,三六零安全科技,360 Security Technology,北京,Beijing,网络信息服务,Cyber Security,先生,54,中国-湖北-黄冈,中国-湖北-黄冈,中国-北京,硕士,西交大、西交大,西安交通大学电信学院,,
蔡东青,335,7,150.0,2110.0,-9%,家族,奥飞娱乐,Alpha Animation,广东汕头,Guangdong,动漫,Media & Entertainment,先生,55,中国-广东-汕头,中国-广东-汕头,中国-广东-汕头,硕士,,,,
黄绍武,335,92,150.0,2110.0,11%,未知,神州通,SinoPostgraduate,广东深圳,Guangdong,投资,Investments,先生,54,中国-江西-九江,中国-江西-九江,中国-广东-深圳,,,,,
李留法、李凤娈,335,-147,150.0,2110.0,-44%,夫妇,天瑞,Tianrui,河南平顶山,Henan,水泥、铝业,"Cement, Aluminum",先生,65,中国-河南-平顶山,,中国-河南-平顶山,,,北京大学光华管理学院,,
倪永培,335,-98,150.0,2110.0,-32%,未知,迎驾,Yingjia,安徽六安,Anhui,白酒,Spirit,先生,72,中国-安徽-六安,中国-安徽-六安,中国-安徽-六安,,,,,
任元林、任乐天,335,250,150.0,2110.0,50%,父子,扬子江船业,Yangzijiang Shipbuilding,江苏无锡,Jiangsu,造船,Shipbuilding ,先生,71,中国-江苏-无锡,中国-江苏-无锡,中国-江苏-无锡,,,,,
王水福、陈桂花,335,23,150.0,2110.0,-6%,夫妇,西子联合控股,Xizi,浙江杭州,Zhejiang,电梯、锅炉、房地产,"Elevators, boilers, real estate",先生,69,中国-浙江-杭州,,中国-浙江-杭州,,,,,
魏应州,335,42,150.0,2110.0,0%,未知,顶新,Ting Hsin,天津,Tianjin,食品和饮料,Food & Beverages,先生,70,中国-台湾,中国-福建-龙岩,中国-台湾-台北,,,,,
许昆泰,335,186,150.0,2110.0,30%,家族,蓝天,Clevo,台湾台北,Taiwan,消费电子产品,Consumer and Industry Electronics,先生,68,中国-台湾,,中国-台湾-台北,,,,,
张雷,335,23,150.0,2110.0,-6%,未知,远景能源,Envision,江苏无锡,Jiangsu,风电,Wind Power,先生,48,中国-江苏-无锡,,中国-江苏-无锡,,,,,
赵丰刚,335,-55,150.0,2110.0,-21%,未知,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery technology,先生,58,,,中国-福建-宁德,硕士,中国科技大学,,,
池宇峰,345,-32,145.0,2040.0,-17%,未知,完美世界,Perfect World,北京,Beijing,网游、影视娱乐,"Online Games, Entertainment",先生,53,中国-湖北,中国-湖北,中国-北京,硕士,清华,清华大学,,
高纪凡,345,-148,145.0,2040.0,-45%,家族,天合光能,Trinasolar,江苏常州,Jiangsu,光伏产品,Photovoltaic Products,先生,59,,,中国-江苏-常州,,,,,
李锂、李坦,345,13,145.0,2040.0,-9%,夫妇,海普瑞,Hepalink,广东深圳,Guangdong,医药,Pharmaceuticals,先生,60,中国-四川-眉山,中国-四川-眉山,中国-广东-深圳,本科,川大,四川大学,,
李如成、李寒穷,345,82,145.0,2040.0,7%,父女,雅戈尔,Youngor,浙江宁波,Zhejiang,服装、房地产、投资,"Apparel, Real Estate, Investments ",先生,73,中国-浙江-绍兴,,中国-浙江-宁波,,,,,
林刚,345,-55,145.0,2040.0,-22%,未知,康哲药业,CMS,广东深圳,Guangdong,医药,Pharmaceuticals,先生,60,中国-广东,,中国-广东-深圳,硕士,广东医学院,湛江医学院,,
聂腾云、陈立英,345,-71,145.0,2040.0,-26%,夫妇,韵达,Yunda,上海青浦,Shanghai,物流,Logistics,先生,48,,,中国-上海,,,浙江商业职业技术学院,,
戚金兴、戚加奇,345,-32,145.0,2040.0,-17%,父子,滨江,Binjiang,浙江杭州,Zhejiang,房地产,Real estate,先生,62,中国-浙江,,中国-浙江-杭州,硕士,,,,
沈炜,345,43,145.0,2040.0,0%,未知,VIVO,VIVO,广东东莞,Guangdong,消费电子产品,Consumer Electronics,先生,未知,,,中国-广东-东莞,,,,,
侯军呈,353,5,140.0,1970.0,-13%,未知,珀莱雅,Proya Cosmetics,浙江杭州,Zhejiang,化妆品,Cosmetics,先生,60,中国-浙江-温州,,中国-浙江-杭州,,,,,
南存辉,353,-51,140.0,1970.0,-22%,未知,正泰,Chint,浙江温州,Zhejiang,工业电器、投资,"Industrial electronics, Investments",先生,61,中国-山东-济宁,,中国-浙江-温州,,,北京工商大学,,
潘来灿,353,35,140.0,1970.0,-3%,未知,海天味业,Haitian,广东佛山,Guangdong,调味品,Food Flavorings,先生,未知,,,中国-广东-佛山,,,,,
汪建,353,-130,140.0,1970.0,-40%,未知,华大基因、碳云,"Bgi Genomics, iCarbonX",广东深圳,Guangdong,基因检测、医疗大数据,Genetic Testing,先生,70,中国-湖南,中国-湖南,中国-广东-深圳,,,,,
王燕清,353,-169,140.0,1970.0,-49%,家族,先导智能,Lead,江苏无锡,Jiangsu,自动化设备,Automation equipment manufacturing,先生,58,中国-江苏-无锡,中国-江苏-无锡,中国-江苏-无锡,,,常州无线电工业学校,,
王一鸣,353,-11,140.0,1970.0,-15%,家族,锦浪科技,Ginlong Technologies,浙江宁波,Zhejiang,光伏逆变器,Inverter,先生,43,,,中国-浙江-宁波,,,,,
王长田、杜英莲,353,-63,140.0,1970.0,-24%,夫妇,光线传媒,Enlight Media,北京,Beijing,影视娱乐,Entertainment,先生,59,中国-辽宁-大连,中国-辽宁-大连,中国-北京,本科,复旦,复旦大学,,
魏应充,353,53,140.0,1970.0,0%,未知,顶新,Ting Hsin,天津,Tianjin,食品和饮料,Food & Beverages,先生,67,中国-台湾,中国-福建-龙岩,中国-台湾-台北,,,,,
魏应交,353,53,140.0,1970.0,0%,未知,顶新,Ting Hsin,天津,Tianjin,食品和饮料,Food & Beverages,先生,69,中国-台湾,中国-福建-龙岩,中国-台湾-台北,,,,,
魏应行,353,53,140.0,1970.0,0%,未知,顶新,Ting Hsin,天津,Tianjin,食品和饮料,Food & Beverages,先生,65,中国-台湾,中国-福建-龙岩,中国-台湾-台北,,,,,
吴凯,353,-40,140.0,1970.0,-20%,未知,宁德时代,CATL,福建宁德,Fujian,锂电池,Battery technology,先生,56,,,中国-福建-宁德,博士,上海交大,,,
吴礼淦,353,316,140.0,1970.0,56%,家族,沪电股份,WUS Printed Circuit,上海,Shanghai,印制电路板,Electronic components,先生,83,中国-台湾,中国-湖北-武汉,中国-上海,,,,,
叶立培,353,17,140.0,1970.0,-10%,家族,仲盛,Super Ocean,上海闵行,Shanghai,投资、房地产,"Investments, Real Estate",先生,80,中国-上海,中国-上海,中国-香港,硕士,,,,
易大盛,353,74,140.0,1970.0,4%,未知,富兴,Fuxing,湖南长沙,Hunan,汽车服务，产业园区,"Car seivices, Real Estate",先生,63,,,中国-湖南-长沙,,,,,
俞敏洪,353,74,140.0,1970.0,4%,未知,新东方,New Oriental,北京,Beijing,教育,Education,先生,62,中国-江苏-无锡,中国-江苏-无锡,中国-北京,本科,北大,北京大学,,
周永利,353,24,140.0,1970.0,-7%,家族,永利,Yongli,浙江绍兴,Zhejiang,轻纺、房地产、投资,"Textiles, real estate, Investments",先生,68,中国-浙江-绍兴,,中国-浙江-绍兴,,,,,
竺兆江,353,-11,140.0,1970.0,-15%,未知,传音,Transsion,广东深圳,Guangdong,消费电子产品,Mobile,先生,51,,,中国-广东-深圳,,,,,
卓志哲,353,282,140.0,1970.0,47%,未知,联发科技,Media Tek,台湾新竹,Taiwan,半导体,Semiconductors,先生,未知,中国-台湾-鹿港,,中国-台湾-新竹,,,,,
邓鸿,371,6,135.0,1900.0,-10%,未知,成都环球世纪,Chengdu International Exhibition & Convention Center,四川成都,Sichuan,投资、房地产,"Investments, Real Estate",先生,61,中国-四川,中国-四川,中国-四川-成都,本科,北京工业,,,
董凡,371,121,135.0,1900.0,13%,未知,健帆生物,Jafron Biomedical,广东珠海,Guangdong,生物医疗设备,Health Tech,先生,54,,,中国-广东-珠海,硕士,上财、中山,中山大学,,
方文雄,371,56,135.0,1900.0,0%,家族,协成行,Hip Shing Hong,香港,Hong Kong,房地产,Estate Holding,先生,未知,中国-广东-东莞,中国-广东-东莞,中国-香港,,,,,
何猷龙,371,-1,135.0,1900.0,-13%,家族,新濠国际,Melco,香港,Hong Kong,博彩,Gaming,先生,48,中国-香港,中国-香港,中国-香港,,,,,
焦佑伦,371,100,135.0,1900.0,8%,家族,华新丽华,Walsin Lihwa,台湾台北,Taiwan,半导体,Semiconductors,先生,66,,,中国-台北,,,,,
林秀成、林志强,371,-29,135.0,1900.0,-18%,父子,三安,Sanan,福建厦门,Fujian,LED,LED,先生,69,中国-福建-泉州,中国-福建-泉州市,中国-福建-厦门,,,,,
刘卫平,371,56,135.0,1900.0,0%,未知,卫龙,Weilong,河南漯河,Henan,食品,Food,先生,45,中国-湖南-平江,中国-湖南,中国-河南-漯河,,,,,
刘志强、翟美卿,371,6,135.0,1900.0,-10%,夫妇,香江,Heung Kong,广东深圳,Guangdong,房地产、金融,"Real Estate, Finance",先生,60,中国-广东,中国-广东,中国-广东-深圳,硕士,,中山大学,,
沈锡强,371,-13,135.0,1900.0,-16%,家族,雅克科技,Yoke Technology,江苏无锡,Jiangsu,化工新材料,Chemical materials,先生,76,中国-江苏-无锡,中国-江苏-无锡,中国-江苏-无锡,,,,,
汪建国、汪浩,371,-29,135.0,1900.0,-18%,父子,五星投资,Five Star Appliance,江苏南京,Jiangsu,电子商务、儿童用品连锁,"E-Commerce, Retail",先生,64,中国-江苏-苏州,中国-江苏-苏州,中国-江苏-南京,,,,,
王世忠,371,17,135.0,1900.0,-7%,家族,亚德客,AirTAC,台湾台北,Taiwan,工业机械,Industrial Machinery,先生,未知,中国-台湾,,中国-台湾-台北,,,,,
伍伟国,371,121,135.0,1900.0,13%,家族,美心,Maxim's Caterers,香港,Hong Kong,餐饮,Restaurants,先生,54,中国-香港,,中国-香港,,,,,
肖安江,371,100,135.0,1900.0,8%,未知,五江轻化,Wujiang,湖南长沙,Hunan,钛合金、保温容器,Chemicals,先生,61,中国-湖南-娄底,,中国-湖南-长沙,,,,,
肖自江,371,100,135.0,1900.0,8%,未知,五江轻化,Wujiang,湖南长沙,Hunan,钛合金、保温容器,Chemicals,先生,74,中国-湖南-娄底,,中国-湖南-长沙,,,,,
许树根,371,17,135.0,1900.0,-7%,未知,鼎力,Zhejiangdingli,浙江湖州,Zhejiang,机械制造,Manufacturing,先生,59,中国-浙江,,中国-浙江-湖州,本科,,,,
袁富根,371,150,135.0,1900.0,17%,家族,东山精密,Dongshan Precision Manufacturing,江苏苏州,Jiangsu,精密铸件,Precision castings,先生,74,中国-江苏-苏州,中国-江苏-苏州,中国-江苏-苏州,,,,,
袁志伦,371,100,135.0,1900.0,8%,未知,博赛矿业,Bosai Minerals,重庆,Chongqing,矿业,Mining,先生,60,中国-重庆,中国-重庆,中国-重庆,本科,川大,,,
陈世卿、蒋翠英,388,316,130.0,1830.0,51%,夫妇,大立光,Largan,台湾台北,Taiwan,电子元件,Electronic Components,先生,75,中国-台湾-台北,,中国-台湾-台中,,,,,
陈一丹,388,83,130.0,1830.0,4%,未知,腾讯,Tencent,广东深圳,Guangdong,互联网服务,Internet Services,先生,53,中国-广东-深圳,中国-广东-深圳,中国-广东-深圳,硕士,深圳、南大,,,
崔立新,388,-30,130.0,1830.0,-19%,未知,创新集团,Innovation Group,山东滨州,Shandong,有色金属,Non-ferrous metals,先生,未知,,,中国-山东-滨州,,,,,
崔鹏、曹菲,388,-46,130.0,1830.0,-21%,夫妇,菲鹏生物,Fapon Biotech,广东深圳,Guangdong,生物科技,Healthcare,先生,47,,,中国-广东-深圳,,,,,
黄达文,388,39,130.0,1830.0,-4%,未知,合盛,Hoshine Silicon,浙江宁波,Zhejiang,硅材料,Metals & Mining,先生,64,中国-香港,,中国-浙江-宁波,,,,,
兰春、杨英,388,241,130.0,1830.0,31%,夫妇,新英才,New Talent,北京,Beijing,教育、生物医药、房地产、投资,"Education, Biotech, Real Estate, Investments",先生,58,,,中国-北京,,,,,
李良彬,388,-127,130.0,1830.0,-37%,未知,赣锋锂业,Ganfeng Lithium,江西新余,Jiangxi,有色金属冶炼加工,Non-ferrous Metals,先生,57,中国-江西-宜春,中国-江西-宜春,中国-江西-新余,,,,,
李卫国,388,-174,130.0,1830.0,-46%,未知,东方雨虹,Oriental Yuhong,北京,Beijing,防水材料,Waterproofing Material,先生,59,中国-湖南-常德,,中国-北京,本科,湖南农,,,
李仙德,388,-18,130.0,1830.0,-16%,未知,晶科能源,Jinko Solar,江西上饶,Jiangxi,太阳能,Solar,先生,49,,,中国-江西-上饶,,,,,
李湘平,388,104,130.0,1830.0,8%,未知,东明石化,Dongming,山东菏泽,Shandong,石油化工,Petrochemical,先生,未知,,,中国-山东-菏泽,,,,,
梁允超,388,-98,130.0,1830.0,-30%,家族,汤臣倍健,By-Health,广东珠海,Guangdong,保健品,Healthcare,先生,55,中国-湖北-武汉,,中国-广东-珠海,,,中南财经大学,,
刘革新,388,133,130.0,1830.0,13%,未知,科伦药业,Kelun Pharmaceutical,四川成都,Sichuan,制药、医药流通,"Pharmaceuticals, medicine circulation",先生,73,中国-湖北,中国-湖北,中国-四川-成都,,,,,
尚吉永,388,83,130.0,1830.0,4%,未知,万达控股,Wanda,山东东营,Shandong,轮胎、电缆、化工,"Tire, cable, chemical",先生,56,中国-山东,中国-山东-东营,中国-山东-东营,,,北京理工大学,,
苏素玉,388,0,130.0,1830.0,-10%,家族,联美,Lianmei,广东汕头,Guangdong,房地产、投资,"Real Estate, Investments",先生,76,中国-广东-汕头,中国-广东-汕头,中国-广东-汕头,,,,,
王均金,388,-46,130.0,1830.0,-21%,未知,均瑶,JuneYao,上海徐汇,Shanghai,房地产、航空、零售,"Real estate, airline, retail",先生,56,,,中国-上海,硕士,,,,
王秋雄,388,67,130.0,1830.0,0%,家族,丰泰,Feng Tay,台湾斗六,Taiwan,服装,Apparel & Accessories,先生,81,中国-台湾,,中国-台湾-斗六,,,,,
吴绪顺,388,39,130.0,1830.0,-4%,家族,三七互娱,37 Interactive Entertainment,广东广州,Guangdong,网络游戏,Network game,先生,76,中国-安徽-芜湖,,中国-安徽-芜湖,,,,,
谢秉昆,388,0,130.0,1830.0,-10%,家族,坤彩科技,Kuncai,福建福州,Fujian,珠光材料,Pearlescent material,先生,58,,,中国-福建-福州,,,,,
